League,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result
English Premier League,16/08/08,Arsenal,West Brom,1.0,0.0,H
English Premier League,16/08/08,Bolton,Stoke,3.0,1.0,H
English Premier League,16/08/08,Everton,Blackburn,2.0,3.0,A
English Premier League,16/08/08,Hull,Fulham,2.0,1.0,H
English Premier League,16/08/08,Middlesbrough,Tottenham,2.0,1.0,H
English Premier League,16/08/08,Sunderland,Liverpool,0.0,1.0,A
English Premier League,16/08/08,West Ham,Wigan,2.0,1.0,H
English Premier League,17/08/08,Aston Villa,Man City,4.0,2.0,H
English Premier League,17/08/08,Chelsea,Portsmouth,4.0,0.0,H
English Premier League,17/08/08,Man United,Newcastle,1.0,1.0,D
English Premier League,23/08/08,Blackburn,Hull,1.0,1.0,D
English Premier League,23/08/08,Fulham,Arsenal,1.0,0.0,H
English Premier League,23/08/08,Liverpool,Middlesbrough,2.0,1.0,H
English Premier League,23/08/08,Newcastle,Bolton,1.0,0.0,H
English Premier League,23/08/08,Stoke,Aston Villa,3.0,2.0,H
English Premier League,23/08/08,Tottenham,Sunderland,1.0,2.0,A
English Premier League,23/08/08,West Brom,Everton,1.0,2.0,A
English Premier League,24/08/08,Man City,West Ham,3.0,0.0,H
English Premier League,24/08/08,Wigan,Chelsea,0.0,1.0,A
English Premier League,25/08/08,Portsmouth,Man United,0.0,1.0,A
English Premier League,30/08/08,Arsenal,Newcastle,3.0,0.0,H
English Premier League,30/08/08,Bolton,West Brom,0.0,0.0,D
English Premier League,30/08/08,Everton,Portsmouth,0.0,3.0,A
English Premier League,30/08/08,Hull,Wigan,0.0,5.0,A
English Premier League,30/08/08,Middlesbrough,Stoke,2.0,1.0,H
English Premier League,30/08/08,West Ham,Blackburn,4.0,1.0,H
English Premier League,31/08/08,Aston Villa,Liverpool,0.0,0.0,D
English Premier League,31/08/08,Chelsea,Tottenham,1.0,1.0,D
English Premier League,31/08/08,Sunderland,Man City,0.0,3.0,A
English Premier League,13/09/08,Blackburn,Arsenal,0.0,4.0,A
